iter	Logloss
0	0.631992507
1	0.5883002352
2	0.5553862513
3	0.5292347673
4	0.5086299845
5	0.4917300123
6	0.4753415357
7	0.4632017165
8	0.4534273021
9	0.4468563384
10	0.4396240237
11	0.4341731174
12	0.4286370565
13	0.4241742326
14	0.4199083134
15	0.4164103986
16	0.4140011778
17	0.4115579989
18	0.4090276656
19	0.4072235623
20	0.405495418
21	0.4038741541
22	0.402254825
23	0.4009974175
24	0.3995290681
25	0.3977705204
26	0.3975566853
27	0.3965825067
28	0.3963558888
29	0.3956348959
30	0.3950615159
31	0.3941827345
32	0.3937971194
33	0.3931650958
34	0.3925495517
35	0.3921186862
36	0.3912535913
37	0.3909901085
38	0.3907734876
39	0.3905658964
40	0.3900846625
41	0.3893061976
42	0.3884970165
43	0.3878847433
44	0.3875999185
45	0.3870916045
46	0.3869926302
47	0.3869908964
48	0.3865817167
49	0.3864213149
50	0.3853716637
51	0.3852959287
52	0.3851205861
53	0.3849831616
54	0.3848585156
55	0.3844971348
56	0.3836187428
57	0.3835455391
58	0.3833817141
59	0.3831434623
60	0.3830661287
61	0.3829955884
62	0.3827604145
63	0.382552767
64	0.3820033125
65	0.3818546795
66	0.3813731002
67	0.3812786024
68	0.3811097801
69	0.3809947443
70	0.3809152121
71	0.3808378068
72	0.3806822021
73	0.380640747
74	0.3803374113
75	0.3803089844
76	0.3798159163
77	0.3797684221
78	0.3791231821
79	0.3784252025
80	0.3780064177
81	0.3778689772
82	0.3775764307
83	0.3775097359
84	0.3773419966
85	0.3768997727
86	0.3764466036
87	0.3759153828
88	0.3758065607
89	0.3756903361
90	0.3756049024
91	0.3751528954
92	0.3748218587
93	0.3742082178
94	0.3737849794
95	0.3733315043
96	0.3732350273
97	0.373166057
98	0.3731069523
99	0.3727528059
