iter	Passed	Remaining
0	148	14694
1	159	7800
2	170	5521
3	183	4399
4	195	3717
5	207	3245
6	218	2902
7	229	2644
8	240	2433
9	248	2232
10	255	2065
11	267	1960
12	279	1867
13	289	1781
14	302	1712
15	313	1647
16	328	1604
17	340	1552
18	352	1502
19	364	1456
20	374	1410
21	386	1368
22	397	1331
23	408	1294
24	419	1259
25	431	1229
26	437	1183
27	449	1156
28	454	1112
29	466	1088
30	478	1065
31	489	1039
32	501	1017
33	512	995
34	522	970
35	533	948
36	544	927
37	556	907
38	567	887
39	571	857
40	583	840
41	596	824
42	609	807
43	621	791
44	633	774
45	645	757
46	656	740
47	661	716
48	673	700
49	686	686
50	698	670
51	709	654
52	720	639
53	732	623
54	742	607
55	754	592
56	765	577
57	777	562
58	790	549
59	803	535
60	817	522
61	828	507
62	840	493
63	852	479
64	863	465
65	875	451
66	887	437
67	899	423
68	912	409
69	923	395
70	934	381
71	945	367
72	956	353
73	966	339
74	978	326
75	992	313
76	1003	299
77	1014	286
78	1025	272
79	1036	259
80	1047	245
81	1058	232
82	1069	219
83	1081	205
84	1092	192
85	1103	179
86	1114	166
87	1125	153
88	1136	140
89	1147	127
90	1158	114
91	1169	101
92	1181	88
93	1192	76
94	1204	63
95	1216	50
96	1227	37
97	1238	25
98	1250	12
99	1261	0
